gas,source,licence,reference,doi
cfc114,WMO 2022 ozone assessment Ch. 7,"Underlying data all openly licensed, so assuming the same, but not 100% clear","Daniel, J. S., Reimann, S., Ashford, P., Fleming, E. L., Hossaini, R., Lickley, M. J., Schofield, R., Walter-Terrinoni, H. (2022). Chapter 7: Scenarios and Information for Policymakers. In World Meteorological Organization (WMO), Scientific Assessment of Ozone Depletion: 2022, GAW Report No. 278(pp. 509); WMO: Geneva, 2022.",https://ozone.unep.org/sites/default/files/2023-02/Scientific-Assessment-of-Ozone-Depletion-2022.pdf
cfc114,AGAGE gc-ms-medusa,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
cfc114,AGAGE gc-ms,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
cfc115,WMO 2022 ozone assessment Ch. 7,"Underlying data all openly licensed, so assuming the same, but not 100% clear","Daniel, J. S., Reimann, S., Ashford, P., Fleming, E. L., Hossaini, R., Lickley, M. J., Schofield, R., Walter-Terrinoni, H. (2022). Chapter 7: Scenarios and Information for Policymakers. In World Meteorological Organization (WMO), Scientific Assessment of Ozone Depletion: 2022, GAW Report No. 278(pp. 509); WMO: Geneva, 2022.",https://ozone.unep.org/sites/default/files/2023-02/Scientific-Assessment-of-Ozone-Depletion-2022.pdf
cfc115,AGAGE gc-ms-medusa,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
cfc115,AGAGE gc-ms,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
cfc12,WMO 2022 ozone assessment Ch. 7,"Underlying data all openly licensed, so assuming the same, but not 100% clear","Daniel, J. S., Reimann, S., Ashford, P., Fleming, E. L., Hossaini, R., Lickley, M. J., Schofield, R., Walter-Terrinoni, H. (2022). Chapter 7: Scenarios and Information for Policymakers. In World Meteorological Organization (WMO), Scientific Assessment of Ozone Depletion: 2022, GAW Report No. 278(pp. 509); WMO: Geneva, 2022.",https://ozone.unep.org/sites/default/files/2023-02/Scientific-Assessment-of-Ozone-Depletion-2022.pdf
cfc12,AGAGE gc-md,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
cfc12,AGAGE gc-ms,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
cfc12,AGAGE gc-ms-medusa,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
cfc12,NOAA HATS,"Free for scientific use, offer co-authorship. See https://gml.noaa.gov/hats/hats_datause.html",https://gml.noaa.gov/hats/,https://gml.noaa.gov/hats/
ch2cl2,AGAGE gc-ms,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
ch2cl2,AGAGE gc-ms-medusa,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
ch2cl2,NOAA HATS,"Free for scientific use, offer co-authorship. See https://gml.noaa.gov/hats/hats_datause.html",https://gml.noaa.gov/hats/,https://gml.noaa.gov/hats/
ch3br,WMO 2022 ozone assessment Ch. 7,"Underlying data all openly licensed, so assuming the same, but not 100% clear","Daniel, J. S., Reimann, S., Ashford, P., Fleming, E. L., Hossaini, R., Lickley, M. J., Schofield, R., Walter-Terrinoni, H. (2022). Chapter 7: Scenarios and Information for Policymakers. In World Meteorological Organization (WMO), Scientific Assessment of Ozone Depletion: 2022, GAW Report No. 278(pp. 509); WMO: Geneva, 2022.",https://ozone.unep.org/sites/default/files/2023-02/Scientific-Assessment-of-Ozone-Depletion-2022.pdf
ch3br,AGAGE gc-ms,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
ch3br,AGAGE gc-ms-medusa,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
ch3br,NOAA HATS,"Free for scientific use, offer co-authorship. See https://gml.noaa.gov/hats/hats_datause.html",https://gml.noaa.gov/hats/,https://gml.noaa.gov/hats/
ch3ccl3,WMO 2022 ozone assessment Ch. 7,"Underlying data all openly licensed, so assuming the same, but not 100% clear","Daniel, J. S., Reimann, S., Ashford, P., Fleming, E. L., Hossaini, R., Lickley, M. J., Schofield, R., Walter-Terrinoni, H. (2022). Chapter 7: Scenarios and Information for Policymakers. In World Meteorological Organization (WMO), Scientific Assessment of Ozone Depletion: 2022, GAW Report No. 278(pp. 509); WMO: Geneva, 2022.",https://ozone.unep.org/sites/default/files/2023-02/Scientific-Assessment-of-Ozone-Depletion-2022.pdf
ch3ccl3,AGAGE gc-ms,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
ch3ccl3,AGAGE gc-md,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
ch3ccl3,AGAGE gc-ms-medusa,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
ch3ccl3,NOAA HATS,"Free for scientific use, offer co-authorship. See https://gml.noaa.gov/hats/hats_datause.html",https://gml.noaa.gov/hats/,https://gml.noaa.gov/hats/
ch3cl,WMO 2022 ozone assessment Ch. 7,"Underlying data all openly licensed, so assuming the same, but not 100% clear","Daniel, J. S., Reimann, S., Ashford, P., Fleming, E. L., Hossaini, R., Lickley, M. J., Schofield, R., Walter-Terrinoni, H. (2022). Chapter 7: Scenarios and Information for Policymakers. In World Meteorological Organization (WMO), Scientific Assessment of Ozone Depletion: 2022, GAW Report No. 278(pp. 509); WMO: Geneva, 2022.",https://ozone.unep.org/sites/default/files/2023-02/Scientific-Assessment-of-Ozone-Depletion-2022.pdf
ch3cl,AGAGE gc-ms,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
